	Unnamed: 0	Unnamed: 0.1	Year	Player	Pos	Age	Tm	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	height	weight	cluster_ID
1536	4759	7232	1984	Rolando Blackman	SG	24	DAL	81	3025.0	0.235636363636	0.596	0.008	0.347	4.8	9.5	7.2	14.2	0.9	0.7	10.0	23.3	0.0987768595041	0.0178512396694	0.116628099174	0.155	0.0404628099174	-0.0178512396694	0.0226115702479	0.0357024793388	8.58049586777	15.7090909091	0.546	0.0119008264463	0.130909090909	0.091	8.56859504132	15.5781818182	0.55	0.547	4.42710743802	5.4505785124	0.812	1.47570247934	2.96330578512	4.43900826446	3.42743801653	0.666446280992	0.440330578512	2.01123966942	1.51140495868	21.6	198.0	86.0	0
2660	5887	8869	1988	Michael Jordan	SG	24	CHI	82	3311.0	0.344669284204	0.603	0.027	0.43	4.8	10.7	7.8	27.0	3.9	2.4	9.6	34.1	0.165267290849	0.0663243733011	0.230504379342	0.308	0.106553911205	0.0250075505889	0.132648746602	0.128299607369	11.6230745998	21.7239504681	0.535	0.0761099365751	0.576260948354	0.132	11.5469646632	21.1476895198	0.546	0.537	7.86106916339	9.35064935065	0.841	1.51132588342	3.37058290547	4.88190878889	5.27333131984	2.81606765328	1.42434309876	2.7399577167	2.93566898218	31.1833282996	198.0	88.0	0
1040	4263	6521	1982	Adrian Dantley	SF	25	UTA	81	3222.0	0.270391061453	0.631	0.002	0.516	7.6	9.6	8.6	15.5	1.4	0.2	13.3	27.9	0.132960893855	0.00782122905028	0.140782122905	0.187	0.0737430167598	-0.0223463687151	0.0513966480447	0.059217877095	10.1005586592	17.7206703911	0.57	0.0111731843575	0.0335195530726	0.333	10.0893854749	17.687150838	0.57	0.57	7.24022346369	9.13966480447	0.792	2.58100558659	3.16201117318	5.74301675978	3.62011173184	1.06145251397	0.156424581006	3.34078212291	2.8156424581	27.4525139665	196.0	94.0	0
2663	5890	8872	1988	Bernard King	SF	31	WSB	69	2044.0	0.264187866928	0.55	0.006	0.345	4.7	10.7	7.7	15.3	1.2	0.3	16.3	26.1	0.0211350293542	0.0281800391389	0.0493150684932	0.066	0.00528375733855	-0.019373776908	-0.0123287671233	0.0123287671233	8.27788649706	16.5205479452	0.501	0.0176125244618	0.105675146771	0.167	8.2602739726	16.4148727984	0.503	0.502	4.35029354207	5.70645792564	0.762	1.51467710372	3.4168297456	4.93150684932	3.38160469667	0.86301369863	0.176125244618	3.71624266145	3.55772994129	20.9236790607	201.0	92.0	0
1593	4816	7306	1984	World B.	SG	30	CLE	75	2375.0	0.284968421053	0.512	0.049	0.358	4.1	6.3	5.2	16.3	2.0	0.2	8.6	31.3	0.0560842105263	0.0242526315789	0.0803368421053	0.107	0.0394105263158	-0.0348631578947	0.00303157894737	0.0197052631579	9.48884210526	21.3271578947	0.445	0.333473684211	1.04589473684	0.319	9.15536842105	20.2812631579	0.451	0.453	5.98736842105	7.63957894737	0.784	1.34905263158	1.94021052632	3.28926315789	3.42568421053	1.42484210526	0.121263157895	2.33431578947	3.24378947368	25.2985263158	206.0	97.0	0
1212	4435	6769	1982	David Thompson	SG	27	DEN	61	1246.0	0.508507223114	0.571	0.022	0.526	5.0	7.6	6.4	12.5	1.2	1.2	15.2	28.5	0.0606741573034	0.0	0.0577849117175	0.079	0.0144462279294	-0.109791332263	-0.0953451043339	-0.0115569823435	9.04333868379	18.606741573	0.486	0.115569823435	0.404494382022	0.286	8.92776886035	18.202247191	0.49	0.489	7.97431781701	9.79454253612	0.814	1.64686998395	2.62921348315	4.27608346709	3.38041733547	0.982343499197	0.837881219904	4.10272873194	4.30497592295	26.176565008	193.0	88.0	0
2242	5466	8239	1986	Kelly Tripucka	SF	26	DET	81	2626.0	0.250875856816	0.567	0.02	0.359	4.6	9.6	7.0	14.1	1.6	0.2	11.3	24.1	0.0767707539985	0.0260472201066	0.102817974105	0.136	0.0329017517136	-0.0123381568926	0.020563594821	0.0315308453922	8.43107387662	16.9444021325	0.498	0.164508758568	0.34272658035	0.48	8.26656511805	16.6016755522	0.498	0.502	5.20944402133	6.08682406702	0.856	1.59025133283	3.18050266565	4.77075399848	3.63290175171	1.2749428789	0.13709063214	2.50875856816	2.28941355674	22.2361005331	198.0	99.0	0
2670	5897	8883	1988	Fat Lever	SG	27	DEN	82	3061.0	0.241097680497	0.516	0.042	0.232	6.7	16.5	11.4	28.1	3.3	0.4	10.8	21.4	0.0646847435479	0.0576282260699	0.122312969618	0.163	0.0388108461287	0.0329304148971	0.0717412610258	0.0729173472721	7.56223456387	15.99477295	0.473	0.141130349559	0.670369160405	0.211	7.42110421431	15.3244037896	0.484	0.477	2.91669389089	3.71643253839	0.785	2.38745508004	5.43351845802	7.82097353806	7.51519111402	2.6226723293	0.246978111728	2.14047696831	2.51682456713	18.1822933682	190.0	77.0	0
1825	5048	7621	1985	Quintin Dailey	SG	24	CHI	79	2101.0	0.260447405997	0.517	0.027	0.226	3.2	8.1	5.7	14.6	1.6	0.1	11.2	27.3	0.0239885768682	0.0205616373156	0.0445502141837	0.059	-0.00514040932889	-0.0428367444074	-0.0479771537363	-0.00685387910519	8.99571632556	19.0366492147	0.473	0.119942884341	0.514040932889	0.233	8.87577344122	18.5226082818	0.479	0.476	3.51261304141	4.30080913851	0.817	0.976677772489	2.58733936221	3.5640171347	3.27272727273	1.21656354117	0.0856734888149	2.6387434555	3.28986197049	21.6239885769	190.0	81.0	0
364	3582	5544	1979	Marques Johnson	SF	22	MIL	77	2779.0	0.30960777258	0.586	0.0	0.293	8.4	14.9	11.7	12.3	1.9	1.7	9.2	25.9	0.119179560993	0.0388629003239	0.158042461317	0.211	0.0660669305506	0.00259086002159	0.0686577905721	0.0660669305506	10.6225260885	19.314861461	0.55	0.0	0.0	0.0	10.6225260885	19.314861461	0.55	0.55	4.30082763584	5.66102914718	0.76	2.74631162289	4.84490824037	7.59121986326	3.03130622526	1.50269881252	1.15293270961	2.20223101835	2.40949982008	25.5458798129	201.0	98.0	0
2234	5458	8225	1986	Isiah Thomas	PG	24	DET	77	2790.0	0.273548387097	0.554	0.067	0.37	3.1	7.6	5.3	40.7	2.8	0.4	16.6	24.4	0.0787096774194	0.0348387096774	0.113548387097	0.151	0.058064516129	-0.00645161290323	0.0516129032258	0.0554838709677	7.85806451613	16.1032258065	0.488	0.335483870968	1.08387096774	0.31	7.52258064516	15.0193548387	0.501	0.498	4.70967741935	5.96129032258	0.79	1.07096774194	2.50322580645	3.57419354839	10.7096774194	2.2064516129	0.258064516129	3.72903225806	3.16129032258	20.7612903226	185.0	81.0	0
1216	4439	6774	1982	Andrew Toney	SG	24	PHI	77	1909.0	0.324358302776	0.572	0.06	0.313	2.7	5.1	4.0	23.1	1.6	0.5	16.1	29.0	0.0433734939759	0.0320586694605	0.0754321634364	0.1	0.0282870612886	-0.0509167103195	-0.0226296490309	0.00754321634364	9.63645887899	18.462022001	0.522	0.471451021477	1.11262441069	0.424	9.16500785752	17.3493975904	0.528	0.535	4.28077527501	5.77056050288	0.742	0.810895756941	1.71608171818	2.52697747512	5.33682556312	1.20691461498	0.320586694605	4.03562074384	5.07281299109	24.0251440545	190.0	80.0	0
1217	4440	6776	1982	Kelly Tripucka	SF	22	DET	82	3077.0	0.19187520312	0.57	0.017	0.485	7.6	8.2	7.9	12.7	1.3	0.3	15.3	23.3	0.0631784205395	0.0245693857654	0.0877478063048	0.117	0.0257393565161	-0.0116997075073	0.0140396490088	0.0292492687683	7.44101397465	14.9873253169	0.496	0.0584985375366	0.257393565161	0.227	7.38251543711	14.7299317517	0.501	0.498	5.79135521612	7.26551836204	0.797	2.5622359441	2.62073448164	5.18297042574	3.15892102697	1.04127396815	0.187195320117	3.27591810205	2.81962950926	20.731881703	198.0	99.0	0
360	3578	5540	1979	Eddie Johnson	SG	23	ATL	78	2413.0	0.249150435143	0.561	0.0	0.297	2.8	4.9	3.8	22.1	2.3	0.3	16.1	21.7	0.0656444260257	0.0283464566929	0.0939908827186	0.126	0.0328222130128	-0.0179030252797	0.0149191877331	0.0268545379196	7.47451305429	14.6506423539	0.51	0.0	0.0	0.0	7.47451305429	14.6506423539	0.51	0.51	3.62536261915	4.35640281807	0.832	0.969747202652	1.56651471198	2.53626191463	5.37090758392	1.80522171571	0.164111065064	3.17778698715	3.59552424368	18.5743887277	203.0	92.0	0
373	3591	5553	1979	Larry Kenon	PF	26	SAS	81	2947.0	0.241873091279	0.547	0.0	0.235	9.6	18.2	14.1	15.4	2.3	0.3	15.5	24.9	0.0574143196471	0.0500848320326	0.10749915168	0.144	0.0305395317272	0.0122158126909	0.0427553444181	0.0500848320326	9.13742789277	18.1282660333	0.504	0.0	0.0	0.0	9.13742789277	18.1282660333	0.504	0.504	3.60366474381	4.26331862911	0.845	3.17611129963	6.47438072616	9.65049202579	4.09229725144	1.88123515439	0.232100441127	3.66474380726	2.34543603665	21.8785205294	206.0	92.0	0
1588	4811	7300	1984	Julius Erving	SF	33	PHI	77	2683.0	0.3072679836	0.562	0.016	0.365	8.3	14.1	11.2	19.3	2.5	3.0	13.0	27.2	0.0751397689154	0.0603801714499	0.135519940365	0.18	0.0483041371599	0.0308609765188	0.0791651136787	0.0711144241521	9.09727916511	17.7651882221	0.512	0.0939247111442	0.281774133433	0.333	9.00335445397	17.4834140887	0.515	0.515	4.8840849795	6.48080506895	0.754	2.54938501677	4.58889303019	7.13827804696	4.14610510622	1.89191203876	1.86507640701	3.08609765188	2.91166604547	23.1725680209	201.0	95.0	0
2679	5906	8893	1988	Jeff Malone	SG	26	WSB	80	2655.0	0.218305084746	0.537	0.018	0.279	1.8	6.9	4.3	14.9	0.9	0.3	10.1	26.4	0.0542372881356	0.0203389830508	0.0759322033898	0.101	0.0149152542373	-0.0325423728814	-0.0176271186441	0.00677966101695	8.78644067797	18.4406779661	0.476	0.135593220339	0.325423728814	0.417	8.65084745763	18.1152542373	0.478	0.48	4.54237288136	5.15254237288	0.882	0.596610169492	2.19661016949	2.79322033898	3.21355932203	0.691525423729	0.176271186441	2.33220338983	2.68474576271	22.2508474576	193.0	92.0	0
722	3944	6060	1980	Scott Wedman	SF	27	KCK	68	2347.0	0.259224541968	0.541	0.02	0.163	5.0	12.9	8.8	9.3	1.7	1.1	8.6	22.2	0.0567533020878	0.0521516829996	0.108904985087	0.145	0.0199403493822	0.0107371112058	0.030677460588	0.0368129527056	8.72773753728	17.0566680869	0.512	0.107371112058	0.337452066468	0.318	8.62036642522	16.7192160205	0.516	0.515	2.22411589263	2.77631018321	0.801	1.74861525352	4.17213463997	5.92074989348	2.22411589263	1.2884533447	0.69024286323	1.71793779293	3.52790796762	19.7869620793	201.0	97.0	0
1222	4445	6781	1982	Kiki Vandeweghe	PF	23	DEN	82	2775.0	0.245189189189	0.612	0.01	0.321	5.9	11.7	8.9	11.9	0.8	0.5	11.6	22.3	0.101189189189	-0.0012972972973	0.0998918918919	0.133	0.0441081081081	-0.0337297297297	0.0116756756757	0.0259459459459	9.15891891892	16.3459459459	0.56	0.012972972973	0.168648648649	0.077	9.14594594595	16.1772972973	0.565	0.561	4.50162162162	5.25405405405	0.857	1.93297297297	4.04756756757	5.98054054054	3.20432432432	0.674594594595	0.376216216216	2.45189189189	2.81513513514	22.8324324324	203.0	99.0	0
2687	5914	8905	1988	Xavier McDaniel	SF	24	SEA	78	2703.0	0.242397336293	0.528	0.036	0.279	8.4	13.3	10.8	15.2	1.7	1.2	12.4	26.8	0.0479467258602	0.034628190899	0.0825749167592	0.11	0.0253052164262	-0.00133185349612	0.0239733629301	0.034628190899	9.14983351831	18.7391786903	0.488	0.186459489456	0.665926748058	0.28	8.96337402886	18.0732519423	0.496	0.493	3.74250832408	5.23418423973	0.715	2.743618202	4.15538290788	6.89900110988	3.50277469478	1.27857935627	0.69256381798	2.97003329634	3.06326304107	22.2286348502	201.0	92.0	0
723	3945	6061	1980	Paul Westphal	SG	29	PHO	82	2665.0	0.285028142589	0.593	0.071	0.336	1.9	5.7	3.9	24.2	2.0	0.7	12.0	25.6	0.104015009381	0.0378236397749	0.141838649156	0.189	0.0526829268293	-0.0216135084428	0.0324202626642	0.0391744840525	9.3478424015	17.790619137	0.525	0.351219512195	1.25628517824	0.28	8.99662288931	16.5343339587	0.544	0.535	5.16022514071	5.98424015009	0.862	0.62138836773	1.90469043152	2.52607879925	5.61951219512	1.60750469043	0.472795497186	2.79624765478	2.18836772983	24.2071294559	193.0	88.0	0
1224	4447	6783	1982	Jay Vincent	PF	22	DAL	81	2626.0	0.256359482102	0.532	0.003	0.282	7.7	17.3	12.3	11.5	1.7	0.5	10.6	28.6	0.0493526275704	0.027418126428	0.0767707539985	0.102	0.0233054074638	-0.0191926884996	0.0041127189642	0.020563594821	9.85681645088	19.8507235339	0.497	0.013709063214	0.0548362528561	0.25	9.84310738766	19.795887281	0.497	0.497	4.01675552171	5.60700685453	0.716	2.49504950495	5.25057121097	7.74562071592	2.41279512567	1.22010662605	0.301599390708	2.65955826352	4.22239146992	23.7440974867	201.0	99.0	0
2231	5455	8221	1986	Terry Teagle	SG	25	GSW	82	2158.0	0.236886005561	0.542	0.026	0.277	4.6	7.3	5.9	7.6	1.5	0.9	11.2	22.0	0.0417052826691	0.0100092678406	0.0517145505097	0.069	0.0	-0.0316960148285	-0.0333642261353	0.0	7.92400370714	15.9814643188	0.496	0.0667284522706	0.417052826691	0.16	7.85727525487	15.5644114921	0.505	0.498	3.51992585728	4.42075996293	0.796	1.60148285449	2.3188137164	3.9202965709	1.91844300278	1.1844300278	0.5671918443	2.2687673772	4.0203892493	19.4346617238	196.0	88.0	0
2696	5924	8920	1988	Mike Mitchell	SF	32	SAS	68	1501.0	0.376548967355	0.529	0.015	0.247	3.9	10.5	7.1	6.6	0.9	0.5	5.6	24.2	0.052764823451	0.00479680213191	0.0575616255829	0.076	-0.0167888074617	-0.0983344437042	-0.115123251166	-0.0263824117255	9.06595602931	18.8034643571	0.482	0.0719520319787	0.287808127915	0.25	8.99400399734	18.5156562292	0.486	0.484	3.83744170553	4.65289806795	0.825	1.29513657562	3.45369753498	4.74883411059	1.63091272485	0.743504330446	0.311792138574	1.2471685543	2.42238507662	22.0413057961	201.0	97.0	0
1826	5049	7622	1985	Adrian Dantley	SF	28	UTA	55	1971.0	0.4	0.607	0.0	0.565	8.0	9.0	8.5	15.2	1.3	0.2	12.4	27.7	0.102283105023	0.0420091324201	0.146118721461	0.194	0.0821917808219	-0.0109589041096	0.0712328767123	0.0547945205479	9.35159817352	17.6073059361	0.531	0.0	0.0	0.0	9.35159817352	17.6073059361	0.531	0.531	8.0	9.95433789954	0.804	2.70319634703	3.19634703196	5.899543379	3.39726027397	1.04109589041	0.146118721461	3.12328767123	2.42922374429	26.703196347	196.0	94.0	0
