	Unnamed: 0	Unnamed: 0.1	Year	Player	Pos	Age	Tm	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	height	weight	cluster_ID
10664	13996	22329	2014	Carlos Boozer	PF	32	CHI	76	2141.0	0.242129845866	0.489	0.002	0.197	7.4	25.9	16.8	10.9	1.3	0.8	12.6	26.3	-0.0151331153667	0.0723026623073	0.0571695469407	0.076	-0.0672582905184	0.0100887435778	-0.0571695469407	-0.0117702008407	7.51611396544	16.478281177	0.456	0.0	0.0336291452592	0.0	7.51611396544	16.4446520318	0.457	0.456	2.48855674918	3.24521251752	0.767	2.30359645026	8.32321345166	10.6268099019	1.98411957029	0.891172349369	0.369920597851	2.58944418496	3.631947688	17.5207846801	206.0	117.0	0
11069	14406	23055	2015	Derrick Favors	PF	23	UTA	74	2280.0	0.344210526316	0.558	0.007	0.362	10.0	20.7	15.4	9.4	1.4	4.3	10.2	23.8	0.0789473684211	0.0521052631579	0.131052631579	0.175	0.0126315789474	0.0268421052632	0.0378947368421	0.0410526315789	7.61052631579	14.4947368421	0.525	0.0157894736842	0.0947368421053	0.167	7.59473684211	14.4	0.527	0.526	3.50526315789	5.24210526316	0.669	3.09473684211	6.48947368421	9.58421052632	1.76842105263	0.947368421053	1.94210526316	1.91052631579	3.31578947368	18.7421052632	208.0	120.0	0
9792	13109	20783	2011	J.J. Hickson	C	22	CLE	80	2256.0	0.248936170213	0.503	0.005	0.392	10.8	25.0	17.7	7.5	1.1	1.8	13.6	25.5	-0.0031914893617	0.0271276595745	0.0239361702128	0.032	-0.0510638297872	-0.0175531914894	-0.0686170212766	-0.0207446808511	6.84574468085	14.9361702128	0.458	0.0	0.0797872340426	0.0	6.84574468085	14.8563829787	0.461	0.458	3.9414893617	5.85638297872	0.673	3.46276595745	7.62765957447	11.0904255319	1.45212765957	0.765957446809	0.86170212766	2.76063829787	3.43085106383	17.6329787234	218.0	122.0	0
9791	13108	20782	2011	Roy Hibbert	C	24	IND	81	2244.0	0.255080213904	0.507	0.004	0.309	9.1	21.0	15.1	12.8	0.7	4.6	15.5	23.6	0.0048128342246	0.0529411764706	0.0577540106952	0.077	-0.0401069518717	0.0368983957219	-0.00320855614973	0.0160427807487	6.57754010695	14.2780748663	0.461	0.0	0.0641711229947	0.0	6.57754010695	14.2139037433	0.463	0.461	3.28877005348	4.41176470588	0.745	2.91978609626	6.86631016043	9.78609625668	2.66310160428	0.529411764706	2.27807486631	2.9679144385	4.10695187166	16.4438502674	218.0	122.0	0
11079	14416	23073	2015	Marc Gasol	C	30	MEM	81	2687.0	0.290733159658	0.558	0.016	0.41	4.9	21.8	13.4	19.7	1.4	4.0	12.2	24.6	0.0736881280238	0.0629698548567	0.136657982881	0.182	0.0174171938965	0.0468924451061	0.0643096390026	0.0616300707108	7.1008559732	14.3624860439	0.494	0.0401935243766	0.227763304801	0.176	7.06066244883	14.1347227391	0.5	0.496	4.68924451061	5.89505024191	0.795	1.54075176777	6.89988835132	8.44064011909	4.11313732787	0.937848902121	1.75511723111	2.35802009676	2.78675102345	18.9311499814	216.0	115.0	0
11080	14417	23074	2015	Pau Gasol	PF	34	CHI	78	2681.0	0.304811637449	0.55	0.023	0.317	9.2	27.6	18.6	14.4	0.5	4.0	10.7	24.7	0.0805669526296	0.0590824319284	0.139649384558	0.187	0.00939947780679	0.0281984334204	0.0375979112272	0.0429690414025	7.65386049981	15.4822827303	0.494	0.161133905259	0.349123461395	0.462	7.49272659455	15.1331592689	0.495	0.5	3.94778067885	4.91458411041	0.803	2.95412159642	9.38604998135	12.3401715778	2.81984334204	0.335695635957	1.97389033943	2.12159641925	1.97389033943	19.4166355837	213.0	113.0	0
11083	14420	23080	2015	Taj Gibson	PF	29	CHI	62	1692.0	0.342553191489	0.545	0.0	0.364	10.7	14.6	12.7	6.9	1.1	3.2	11.6	17.6	0.0574468085106	0.0446808510638	0.102127659574	0.137	-0.0127659574468	0.0234042553191	0.0127659574468	0.0234042553191	5.40425531915	10.7659574468	0.502	0.0	0.0	0.0	5.40425531915	10.7659574468	0.502	0.502	2.8085106383	3.91489361702	0.717	3.44680851064	4.97872340426	8.42553191489	1.51063829787	0.765957446809	1.59574468085	1.63829787234	3.44680851064	13.6170212766	206.0	102.0	0
11116	14453	23128	2015	Roy Hibbert	C	28	IND	76	1926.0	0.28785046729	0.501	0.003	0.287	9.0	21.9	15.5	7.4	0.5	5.1	11.8	21.3	0.018691588785	0.0598130841121	0.0785046728972	0.105	-0.0579439252336	0.0392523364486	-0.018691588785	0.00934579439252	5.92523364486	13.2710280374	0.446	0.0	0.0373831775701	0.0	5.92523364486	13.2336448598	0.448	0.446	3.14018691589	3.81308411215	0.824	2.91588785047	7.17757009346	10.0934579439	1.57009345794	0.336448598131	2.33644859813	2.0	4.03738317757	14.9906542056	218.0	122.0	0
11118	14455	23130	2015	Nene Hilario	PF	32	WAS	67	1693.0	0.304075605434	0.534	0.008	0.336	5.7	17.0	11.5	12.0	2.0	1.0	15.2	21.8	0.010632014176	0.0531600708801	0.0637920850561	0.086	-0.0404016538689	0.0276432368576	-0.0127584170112	0.0127584170112	6.52805670408	12.7796810396	0.511	0.021264028352	0.10632014176	0.2	6.50679267572	12.6733608978	0.513	0.512	2.59421145895	4.29533372711	0.604	1.78617838157	5.54991139988	7.33608978145	2.6154754873	1.40342587123	0.467808623745	2.63673951565	3.82752510337	15.6715888955	211.0	113.0	0
9778	13095	20762	2011	Tyler Hansbrough	PF	25	IND	70	1535.0	0.384625407166	0.529	0.003	0.413	10.6	15.9	13.2	4.7	1.2	0.7	9.5	23.1	0.0515960912052	0.0375244299674	0.0891205211726	0.118	-0.0351791530945	-0.0445602605863	-0.0773941368078	-0.0117263843648	6.68403908795	14.3765472313	0.465	0.0	0.0469055374593	0.0	6.68403908795	14.3296416938	0.466	0.465	4.62019543974	5.9335504886	0.779	3.4006514658	5.18306188925	8.58371335505	0.961563517915	0.867752442997	0.351791530945	1.78241042345	3.75244299674	17.9882736156	206.0	113.0	0
